Move Name,Category,Match ,Move Count,Match Type,Competition Format,Wins,Losses,Sub Wins,Sub Losses,Sub Win,Sub Loss Move
Sit Down,Position,White Lion vs Ryan Mendez,5,No Gi,Super Match,3,2,1,1,Heel Hook,Guillotine
Double Leg,Takedown,White Lion vs Ryan Mendez,1,No Gi,Super Match,,,,,,
Bottom Half Guard,Position,White Lion vs Ryan Mendez,3,No Gi,Super Match,,,,,,
Back Defense,Position,White Lion vs Ryan Mendez,2,No Gi,Super Match,,,,,,
Sit Down,Position,NewBreed,1,No Gi,Tournament,,,,,,
Back Defense,Position,NewBreed,1,No Gi,Tournament,,,,,,
Closed Guard Top,Position,NewBreed,1,No Gi,Tournament,,,,,,
Mount Bottom,Position,NewBreed,1,No Gi,Tournament,,,,,,
Butterfly Guard,Position,Copa America,4,No Gi,Tournament,,,,,,
Bottom Half Guard,Position,Copa America,3,No Gi,Tournament,,,,,,
Half Guard Sweep,Transition,Copa America,1,No Gi,Tournament,,,,,,
Sit Down,Position,Copa America,1,No Gi,Tournament,,,,,,
Mount Bottom,Position,Copa America,1,No Gi,Tournament,,,,,,
Back Defense,Position,Copa America,1,No Gi,Tournament,,,,,,
Heel Hook,Leg Lock,CSC - Match 1,1,No Gi,Tournament,,,,,,
Sit Down,Position,CSC - Match 2,1,No Gi,Tournament,,,,,,
Closed Guard Top,Position,CSC - Match 2,1,No Gi,Tournament,,,,,,
Mount Bottom,Position,CSC - Match 2,1,No Gi,Tournament,,,,,,
Swept Closed Guard Top,Transition,CSC - Match 2,1,No Gi,Tournament,,,,,,
Leg Lock Attack,Leg Lock,CSC - Match 2,2,No Gi,Tournament,,,,,,
Top Half Guard,Position,CSC - Match 2,1,No Gi,Tournament,,,,,,
Butterfly Guard,Position,CSC - Match 2,1,No Gi,Tournament,,,,,,
