move_name,category,move_id,offense_attempted,offense_succeeded,defense_attempted,defense_succeeded,match_id,Submission,W or L,tournament_date,match_style,weight_class,points_scored,points_scored_upon
Guard Pull,Takedown,1,0,0,0,0,1,N,W,11/6/2021,Gi,cruiserweight,36,11
Single Leg,Takedown,2,0,0,0,0,1,N,W,,NoGi,,,
Double Leg,Takedown,3,0,0,0,0,1,N,W,,,,,
Arm Drag,Takedown,4,3,0,0,3,1,Y,L,,,,,
Trip,Takedown,5,0,0,0,5,1,,,,,,,
Lateral throw,Takedown,6,1,0,0,0,1,,,,,,,
Guard,Position,7,1,0,0,0,1,,,,,,,
Half Guard,Position,8,0,0,0,0,1,,,,,,,
Side Control,Position,9,0,0,0,0,1,,,,,,,
Mount,Position,10,0,0,0,0,1,,,,,,,
Back,Position,11,0,0,0,0,1,,,,,,,
Sweep,Transition,12,0,0,0,0,1,,,,,,,
Guard Pass,Transition,13,0,0,0,0,1,,,,,,,
Arm bar,Submission Arm,14,0,0,0,0,1,,,,,,,
Americana,Submission Arm,15,0,0,0,0,1,,,,,,,
Kimura,Submission Arm,16,0,0,0,0,1,,,,,,,
Rear Naked,Choke,17,0,0,0,0,1,,,,,,,
Front collar,Choke,18,0,0,0,0,1,,,,,,,
Triangle,Choke,19,0,0,0,0,1,,,,,,,
Arm Triangle,Choke,20,0,0,0,0,1,,,,,,,
Guillotine,Choke,21,0,0,0,0,1,,,,,,,
Other,Choke,22,0,0,0,0,1,,,,,,,
Guard Pull,Takedown,1,0,0,0,0,2,,,,,,,
Single Leg,Takedown,2,0,0,0,1,2,,,,,,,
Double Leg,Takedown,3,0,0,0,0,2,,,,,,,
Arm Drag,Takedown,4,0,0,0,0,2,,,,,,,
Trip,Takedown,5,0,0,0,2,2,,,,,,,
Lateral throw,Takedown,6,0,1,0,0,2,,,,,,,
Guard,Position,7,0,1,0,0,2,,,,,,,
Half Guard,Position,8,0,0,0,0,2,,,,,,,
Side Control,Position,9,0,3,0,0,2,,,,,,,
Mount,Position,10,0,2,0,0,2,,,,,,,
Back,Position,11,0,0,0,0,2,,,,,,,
Sweep,Transition,12,0,0,1,1,2,,,,,,,
Guard Pass,Transition,13,3,2,0,0,2,,,,,,,
Arm bar,Submission Arm,14,1,0,0,1,2,,,,,,,
Americana,Submission Arm,15,0,0,0,0,2,,,,,,,
Kimura,Submission Arm,16,0,0,0,0,2,,,,,,,
Rear Naked,Choke,17,0,0,0,0,2,,,,,,,
Front collar,Choke,18,0,0,0,0,2,,,,,,,
Triangle,Choke,19,0,0,0,1,2,,,,,,,
Arm Triangle,Choke,20,0,0,0,0,2,,,,,,,
Guillotine,Choke,21,0,0,0,0,2,,,,,,,
Other,Choke,22,0,0,0,0,2,,,,,,,
Guard Pull,Takedown,1,0,0,0,0,3,,,,,,,
Single Leg,Takedown,2,0,0,0,0,3,,,,,,,
Double Leg,Takedown,3,0,0,0,1,3,,,,,,,
Arm Drag,Takedown,4,0,0,0,0,3,,,,,,,
Trip,Takedown,5,0,0,0,0,3,,,,,,,
Lateral throw,Takedown,6,0,1,0,0,3,,,,,,,
Guard,Position,7,0,1,0,2,3,,,,,,,
Half Guard,Position,8,0,1,0,0,3,,,,,,,
Side Control,Position,9,0,0,1,0,3,,,,,,,
Mount,Position,10,0,2,0,2,3,,,,,,,
Back,Position,11,0,1,0,0,3,,,,,,,
Sweep,Transition,12,0,0,2,1,3,,,,,,,
Guard Pass,Transition,13,1,1,0,0,3,,,,,,,
Arm bar,Submission Arm,14,0,0,0,0,3,,,,,,,
Americana,Submission Arm,15,0,0,0,0,3,,,,,,,
Kimura,Submission Arm,16,0,0,0,0,3,,,,,,,
Rear Naked,Choke,17,1,0,0,0,3,,,,,,,
Front collar,Choke,18,0,0,0,0,3,,,,,,,
Triangle,Choke,19,2,0,0,0,3,,,,,,,
Arm Triangle,Choke,20,0,0,0,0,3,,,,,,,
Guillotine,Choke,21,0,0,0,0,3,,,,,,,
Other,Choke,22,0,0,0,0,3,,,,,,,
Guard Pull,Takedown,1,0,0,1,0,4,,,,,,,
Single Leg,Takedown,2,0,0,0,0,4,,,,,,,
Double Leg,Takedown,3,1,0,0,0,4,,,,,,,
Arm Drag,Takedown,4,0,0,0,0,4,,,,,,,
Trip,Takedown,5,1,0,0,0,4,,,,,,,
Lateral throw,Takedown,6,0,0,0,0,4,,,,,,,
Guard,Position,7,0,0,1,0,4,,,,,,,
Half Guard,Position,8,0,2,1,0,4,,,,,,,
Side Control,Position,9,0,0,0,0,4,,,,,,,
Mount,Position,10,0,0,0,0,4,,,,,,,
Back,Position,11,0,0,0,2,4,,,,,,,
Sweep,Transition,12,0,0,1,1,4,,,,,,,
Guard Pass,Transition,13,3,0,0,0,4,,,,,,,
Arm bar,Submission Arm,14,0,0,1,0,4,,,,,,,
Americana,Submission Arm,15,0,0,0,0,4,,,,,,,
Kimura,Submission Arm,16,0,0,1,1,4,,,,,,,
Rear Naked,Choke,17,0,0,0,0,4,,,,,,,
Front collar,Choke,18,0,0,0,0,4,,,,,,,
Triangle,Choke,19,0,0,0,0,4,,,,,,,
Arm Triangle,Choke,20,0,0,0,0,4,,,,,,,
Guillotine,Choke,21,0,0,0,0,4,,,,,,,
Other,Choke,22,0,0,0,0,4,,,,,,,
Guard Pull,Takedown,1,0,0,0,0,5,,,,,,,
Single Leg,Takedown,2,0,0,0,3,5,,,,,,,
Double Leg,Takedown,3,0,0,0,3,5,,,,,,,
Arm Drag,Takedown,4,0,0,0,0,5,,,,,,,
Trip,Takedown,5,0,0,0,0,5,,,,,,,
Lateral throw,Takedown,6,0,5,0,0,5,,,,,,,
Guard,Position,7,0,4,0,0,5,,,,,,,
Half Guard,Position,8,0,2,0,0,5,,,,,,,
Side Control,Position,9,0,2,0,0,5,,,,,,,
Mount,Position,10,0,0,0,0,5,,,,,,,
Back,Position,11,0,0,0,0,5,,,,,,,
Sweep,Transition,12,0,2,0,2,5,,,,,,,
Guard Pass,Transition,13,5,0,0,0,5,,,,,,,
Arm bar,Submission Arm,14,0,0,0,0,5,,,,,,,
Americana,Submission Arm,15,0,0,0,0,5,,,,,,,
Kimura,Submission Arm,16,0,0,0,0,5,,,,,,,
Rear Naked,Choke,17,0,0,0,0,5,,,,,,,
Front collar,Choke,18,0,0,0,0,5,,,,,,,
Triangle,Choke,19,0,0,0,1,5,,,,,,,
Arm Triangle,Choke,20,0,0,0,0,5,,,,,,,
Guillotine,Choke,21,0,0,0,0,5,,,,,,,
Other,Choke,22,0,0,0,0,5,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
